iter	Passed	Remaining
0	0	90
1	1	93
2	2	90
3	4	102
4	5	100
5	6	106
6	7	102
7	8	96
8	9	92
9	9	87
10	10	84
11	11	81
12	11	79
13	12	76
14	13	74
15	13	72
16	14	70
17	15	69
18	16	68
19	16	67
20	17	65
21	18	65
22	19	64
23	20	65
24	21	65
25	22	64
26	23	62
27	23	60
28	24	59
29	24	57
30	25	56
31	25	55
32	26	53
33	27	52
34	27	51
35	28	50
36	28	48
37	29	47
38	29	46
39	30	46
40	31	45
41	31	43
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	21
70	52	21
71	53	20
72	53	19
73	54	19
74	54	18
75	55	17
76	56	16
77	56	15
78	57	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	67	4
94	68	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
